Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2),Heat Rate (W/m^2),Total Heat (J/m^2),Surface Temp (K)
82.30,175847.91,2975.25,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
82.40,176145.34,2974.32,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
82.50,176442.68,2973.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
82.60,176739.93,2972.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
82.70,177037.08,2971.54,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
82.80,177334.14,2970.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
82.90,177631.11,2969.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.00,177927.98,2968.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.10,178224.76,2967.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.20,178521.45,2966.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.30,178818.05,2965.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.40,179114.55,2965.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.50,179410.96,2964.10,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.60,179707.28,2963.17,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.70,180003.50,2962.24,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.80,180299.64,2961.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
83.90,180595.67,2960.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.00,180891.62,2959.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.10,181187.47,2958.53,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.20,181483.23,2957.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.30,181778.90,2956.67,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.40,182074.47,2955.74,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.50,182369.96,2954.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.60,182665.34,2953.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.70,182960.64,2952.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.80,183255.84,2952.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
84.90,183550.95,2951.10,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.00,183845.97,2950.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.10,184140.90,2949.25,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.20,184435.73,2948.32,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.30,184730.47,2947.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.40,185025.11,2946.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.50,185319.67,2945.54,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.60,185614.13,2944.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.70,185908.50,2943.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.80,186202.77,2942.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
85.90,186496.96,2941.83,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.00,186791.05,2940.90,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.10,187085.04,2939.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.20,187378.95,2939.05,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.30,187672.76,2938.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.40,187966.48,2937.20,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.50,188260.11,2936.27,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.60,188553.64,2935.34,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.70,188847.08,2934.42,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.80,189140.43,2933.49,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
86.90,189433.69,2932.56,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.00,189726.85,2931.64,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.10,190019.92,2930.71,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.20,190312.90,2929.79,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.30,190605.79,2928.86,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.40,190898.58,2927.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.50,191191.28,2927.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.60,191483.89,2926.08,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.70,191776.40,2925.16,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.80,192068.83,2924.23,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
87.90,192361.16,2923.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.00,192653.40,2922.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.10,192945.54,2921.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.20,193237.60,2920.53,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.30,193529.56,2919.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.40,193821.42,2918.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.50,194113.20,2917.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.60,194404.88,2916.83,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.70,194696.47,2915.91,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.80,194987.97,2914.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
88.90,195279.38,2914.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.00,195570.69,2913.13,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.10,195861.91,2912.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.20,196153.04,2911.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.30,196444.08,2910.36,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.40,196735.02,2909.44,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.50,197025.87,2908.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.60,197316.63,2907.59,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.70,197607.30,2906.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.80,197897.87,2905.74,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
89.90,198188.35,2904.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.00,198478.74,2903.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.10,198769.04,2902.97,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.20,199059.24,2902.05,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.30,199349.35,2901.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.40,199639.37,2900.20,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.50,199929.30,2899.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.60,200219.14,2898.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.70,200508.88,2897.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.80,200798.53,2896.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
90.90,201088.09,2895.58,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.00,201377.55,2894.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.10,201666.93,2893.74,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.20,201956.21,2892.82,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.30,202245.40,2891.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.40,202534.50,2890.97,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.50,202823.50,2890.05,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.60,203112.41,2889.13,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.70,203401.23,2888.20,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.80,203689.96,2887.28,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
91.90,203978.60,2886.36,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.00,204267.14,2885.44,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.10,204555.59,2884.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.20,204843.95,2883.59,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.30,205132.22,2882.67,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.40,205420.39,2881.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.50,205708.48,2880.83,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.60,205996.47,2879.91,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.70,206284.37,2878.99,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.80,206572.17,2878.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
92.90,206859.89,2877.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.00,207147.51,2876.22,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.10,207435.04,2875.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.20,207722.48,2874.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.30,208009.82,2873.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.40,208297.08,2872.54,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.50,208584.24,2871.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.60,208871.31,2870.70,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.70,209158.29,2869.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.80,209445.17,2868.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
93.90,209731.96,2867.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.00,210018.67,2867.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.10,210305.27,2866.09,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.20,210591.79,2865.17,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.30,210878.22,2864.25,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.40,211164.55,2863.33,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.50,211450.79,2862.41,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.60,211736.94,2861.49,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.70,212023.00,2860.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.80,212308.96,2859.65,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
94.90,212594.84,2858.73,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.00,212880.62,2857.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.10,213166.31,2856.89,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.20,213451.91,2855.97,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.30,213737.41,2855.06,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.40,214022.82,2854.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.50,214308.15,2853.22,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.60,214593.38,2852.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.70,214878.51,2851.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.80,215163.56,2850.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
95.90,215448.51,2849.54,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.00,215733.38,2848.62,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.10,216018.15,2847.70,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.20,216302.83,2846.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.30,216587.41,2845.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.40,216871.91,2844.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.50,217156.31,2844.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.60,217440.62,2843.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.70,217724.84,2842.19,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.80,218008.97,2841.27,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
96.90,218293.00,2840.36,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.00,218576.95,2839.44,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.10,218860.80,2838.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.20,219144.56,2837.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.30,219428.23,2836.69,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.40,219711.80,2835.77,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.50,219995.29,2834.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.60,220278.68,2833.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.70,220561.98,2833.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.80,220845.19,2832.10,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
97.90,221128.31,2831.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.00,221411.34,2830.26,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.10,221694.27,2829.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.20,221977.12,2828.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.30,222259.87,2827.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.40,222542.53,2826.59,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.50,222825.09,2825.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.60,223107.57,2824.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.70,223389.95,2823.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.80,223672.25,2822.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
98.90,223954.45,2822.01,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.00,224236.56,2821.09,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.10,224518.58,2820.18,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.20,224800.50,2819.26,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.30,225082.34,2818.35,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.40,225364.08,2817.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.50,225645.73,2816.51,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.60,225927.29,2815.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.70,226208.76,2814.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.80,226490.14,2813.77,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
99.90,226771.42,2812.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.00,227052.61,2811.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.10,227333.72,2811.02,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.20,227614.73,2810.10,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.30,227895.65,2809.19,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.40,228176.47,2808.27,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.50,228457.21,2807.36,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.60,228737.85,2806.44,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.70,229018.41,2805.53,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.80,229298.87,2804.61,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
100.90,229579.24,2803.70,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.00,229859.52,2802.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.10,230139.70,2801.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.20,230419.80,2800.95,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.30,230699.80,2800.04,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.40,230979.71,2799.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.50,231259.53,2798.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.60,231539.26,2797.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.70,231818.90,2796.38,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.80,232098.45,2795.47,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
101.90,232377.90,2794.55,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.00,232657.27,2793.64,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.10,232936.54,2792.72,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.20,233215.72,2791.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.30,233494.81,2790.90,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.40,233773.81,2789.98,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.50,234052.72,2789.07,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.60,234331.53,2788.16,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.70,234610.26,2787.24,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.80,234888.89,2786.33,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
102.90,235167.43,2785.41,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.00,235445.88,2784.50,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.10,235724.24,2783.59,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.20,236002.51,2782.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.30,236280.68,2781.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.40,236558.77,2780.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.50,236836.76,2779.94,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.60,237114.66,2779.02,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.70,237392.47,2778.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.80,237670.19,2777.20,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
103.90,237947.82,2776.29,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.00,238225.36,2775.37,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.10,238502.81,2774.46,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.20,238780.16,2773.55,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.30,239057.42,2772.64,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.40,239334.60,2771.72,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.50,239611.68,2770.81,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.60,239888.67,2769.90,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.70,240165.57,2768.99,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.80,240442.37,2768.07,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
104.90,240719.09,2767.16,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.00,240995.72,2766.25,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.10,241272.25,2765.34,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.20,241548.69,2764.43,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.30,241825.04,2763.52,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.40,242101.30,2762.60,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.50,242377.47,2761.69,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.60,242653.55,2760.78,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.70,242929.54,2759.87,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.80,243205.43,2758.96,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
105.90,243481.24,2758.05,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.00,243756.95,2757.14,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.10,244032.58,2756.23,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.20,244308.11,2755.32,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.30,244583.55,2754.40,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.40,244858.90,2753.49,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.50,245134.16,2752.58,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.60,245409.32,2751.67,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.70,245684.40,2750.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.80,245959.38,2749.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
106.90,246234.28,2748.94,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.00,246509.08,2748.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.10,246783.79,2747.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.20,247058.41,2746.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.30,247332.94,2745.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.40,247607.38,2744.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.50,247881.73,2743.48,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.60,248155.99,2742.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.70,248430.15,2741.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.80,248704.23,2740.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
107.90,248978.21,2739.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.00,249252.11,2738.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.10,249525.91,2738.02,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.20,249799.62,2737.11,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.30,250073.24,2736.20,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.40,250346.77,2735.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.50,250620.21,2734.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.60,250893.56,2733.48,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.70,251166.81,2732.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.80,251439.98,2731.66,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
108.90,251713.06,2730.75,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.00,251986.04,2729.84,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.10,252258.93,2728.93,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.20,252531.74,2728.02,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.30,252804.45,2727.12,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.40,253077.07,2726.21,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.50,253349.60,2725.30,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.60,253622.04,2724.39,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.70,253894.38,2723.48,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.80,254166.64,2722.57,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
109.90,254438.81,2721.67,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.00,254710.88,2720.76,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.10,254982.87,2719.85,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.20,255254.76,2718.94,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.30,255526.57,2718.03,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.40,255798.28,2717.13,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.50,256069.90,2716.22,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.60,256341.43,2715.31,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.70,256612.87,2714.40,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.80,256884.22,2713.50,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
110.90,257155.48,2712.59,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
111.00,257426.65,2711.68,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
111.10,257697.73,2710.77,10000.00,0.00,0.00,0.00,0.00,0.00,3524.26,1.76
