Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2)
191.60,369019.81,1548.34,10000.00,0.00,0.00,0.00,0.00
191.70,369174.56,1547.46,10000.00,0.00,0.00,0.00,0.00
191.80,369329.22,1546.59,10000.00,0.00,0.00,0.00,0.00
191.90,369483.79,1545.71,10000.00,0.00,0.00,0.00,0.00
192.00,369638.27,1544.83,10000.00,0.00,0.00,0.00,0.00
192.10,369792.67,1543.96,10000.00,0.00,0.00,0.00,0.00
192.20,369946.97,1543.08,10000.00,0.00,0.00,0.00,0.00
192.30,370101.20,1542.20,10000.00,0.00,0.00,0.00,0.00
192.40,370255.33,1541.32,10000.00,0.00,0.00,0.00,0.00
192.50,370409.37,1540.45,10000.00,0.00,0.00,0.00,0.00
192.60,370563.33,1539.57,10000.00,0.00,0.00,0.00,0.00
192.70,370717.20,1538.69,10000.00,0.00,0.00,0.00,0.00
192.80,370870.98,1537.82,10000.00,0.00,0.00,0.00,0.00
192.90,371024.67,1536.94,10000.00,0.00,0.00,0.00,0.00
193.00,371178.28,1536.06,10000.00,0.00,0.00,0.00,0.00
193.10,371331.80,1535.19,10000.00,0.00,0.00,0.00,0.00
193.20,371485.23,1534.31,10000.00,0.00,0.00,0.00,0.00
193.30,371638.57,1533.43,10000.00,0.00,0.00,0.00,0.00
193.40,371791.83,1532.55,10000.00,0.00,0.00,0.00,0.00
193.50,371945.00,1531.68,10000.00,0.00,0.00,0.00,0.00
193.60,372098.08,1530.80,10000.00,0.00,0.00,0.00,0.00
193.70,372251.07,1529.92,10000.00,0.00,0.00,0.00,0.00
193.80,372403.97,1529.05,10000.00,0.00,0.00,0.00,0.00
193.90,372556.79,1528.17,10000.00,0.00,0.00,0.00,0.00
194.00,372709.52,1527.30,10000.00,0.00,0.00,0.00,0.00
194.10,372862.16,1526.42,10000.00,0.00,0.00,0.00,0.00
194.20,373014.72,1525.54,10000.00,0.00,0.00,0.00,0.00
194.30,373167.18,1524.67,10000.00,0.00,0.00,0.00,0.00
194.40,373319.56,1523.79,10000.00,0.00,0.00,0.00,0.00
194.50,373471.85,1522.91,10000.00,0.00,0.00,0.00,0.00
194.60,373624.06,1522.04,10000.00,0.00,0.00,0.00,0.00
194.70,373776.17,1521.16,10000.00,0.00,0.00,0.00,0.00
194.80,373928.20,1520.28,10000.00,0.00,0.00,0.00,0.00
194.90,374080.14,1519.41,10000.00,0.00,0.00,0.00,0.00
195.00,374232.00,1518.53,10000.00,0.00,0.00,0.00,0.00
195.10,374383.76,1517.66,10000.00,0.00,0.00,0.00,0.00
195.20,374535.44,1516.78,10000.00,0.00,0.00,0.00,0.00
195.30,374687.03,1515.90,10000.00,0.00,0.00,0.00,0.00
195.40,374838.53,1515.03,10000.00,0.00,0.00,0.00,0.00
195.50,374989.95,1514.15,10000.00,0.00,0.00,0.00,0.00
195.60,375141.28,1513.28,10000.00,0.00,0.00,0.00,0.00
195.70,375292.52,1512.40,10000.00,0.00,0.00,0.00,0.00
195.80,375443.67,1511.53,10000.00,0.00,0.00,0.00,0.00
195.90,375594.73,1510.65,10000.00,0.00,0.00,0.00,0.00
196.00,375745.71,1509.77,10000.00,0.00,0.00,0.00,0.00
196.10,375896.60,1508.90,10000.00,0.00,0.00,0.00,0.00
196.20,376047.40,1508.02,10000.00,0.00,0.00,0.00,0.00
196.30,376198.12,1507.15,10000.00,0.00,0.00,0.00,0.00
196.40,376348.74,1506.27,10000.00,0.00,0.00,0.00,0.00
196.50,376499.28,1505.40,10000.00,0.00,0.00,0.00,0.00
196.60,376649.74,1504.52,10000.00,0.00,0.00,0.00,0.00
196.70,376800.10,1503.64,10000.00,0.00,0.00,0.00,0.00
196.80,376950.38,1502.77,10000.00,0.00,0.00,0.00,0.00
196.90,377100.57,1501.89,10000.00,0.00,0.00,0.00,0.00
197.00,377250.67,1501.02,10000.00,0.00,0.00,0.00,0.00
197.10,377400.68,1500.14,10000.00,0.00,0.00,0.00,0.00
197.20,377550.61,1499.27,10000.00,0.00,0.00,0.00,0.00
197.30,377700.45,1498.39,10000.00,0.00,0.00,0.00,0.00
197.40,377850.20,1497.52,10000.00,0.00,0.00,0.00,0.00
197.50,377999.86,1496.64,10000.00,0.00,0.00,0.00,0.00
197.60,378149.44,1495.77,10000.00,0.00,0.00,0.00,0.00
197.70,378298.93,1494.89,10000.00,0.00,0.00,0.00,0.00
197.80,378448.33,1494.02,10000.00,0.00,0.00,0.00,0.00
197.90,378597.65,1493.14,10000.00,0.00,0.00,0.00,0.00
198.00,378746.87,1492.27,10000.00,0.00,0.00,0.00,0.00
198.10,378896.01,1491.39,10000.00,0.00,0.00,0.00,0.00
198.20,379045.06,1490.52,10000.00,0.00,0.00,0.00,0.00
198.30,379194.03,1489.64,10000.00,0.00,0.00,0.00,0.00
198.40,379342.91,1488.77,10000.00,0.00,0.00,0.00,0.00
198.50,379491.70,1487.89,10000.00,0.00,0.00,0.00,0.00
198.60,379640.40,1487.02,10000.00,0.00,0.00,0.00,0.00
198.70,379789.01,1486.14,10000.00,0.00,0.00,0.00,0.00
198.80,379937.54,1485.27,10000.00,0.00,0.00,0.00,0.00
198.90,380085.98,1484.40,10000.00,0.00,0.00,0.00,0.00
199.00,380234.33,1483.52,10000.00,0.00,0.00,0.00,0.00
199.10,380382.59,1482.65,10000.00,0.00,0.00,0.00,0.00
199.20,380530.77,1481.77,10000.00,0.00,0.00,0.00,0.00
199.30,380678.86,1480.90,10000.00,0.00,0.00,0.00,0.00
199.40,380826.86,1480.02,10000.00,0.00,0.00,0.00,0.00
199.50,380974.78,1479.15,10000.00,0.00,0.00,0.00,0.00
199.60,381122.61,1478.27,10000.00,0.00,0.00,0.00,0.00
199.70,381270.35,1477.40,10000.00,0.00,0.00,0.00,0.00
199.80,381418.00,1476.53,10000.00,0.00,0.00,0.00,0.00
199.90,381565.56,1475.65,10000.00,0.00,0.00,0.00,0.00
200.00,381713.04,1474.78,10000.00,0.00,0.00,0.00,0.00
200.10,381860.43,1473.90,10000.00,0.00,0.00,0.00,0.00
200.20,382007.73,1473.03,10000.00,0.00,0.00,0.00,0.00
200.30,382154.95,1472.16,10000.00,0.00,0.00,0.00,0.00
200.40,382302.08,1471.28,10000.00,0.00,0.00,0.00,0.00
200.50,382449.12,1470.41,10000.00,0.00,0.00,0.00,0.00
200.60,382596.07,1469.53,10000.00,0.00,0.00,0.00,0.00
200.70,382742.94,1468.66,10000.00,0.00,0.00,0.00,0.00
200.80,382889.72,1467.79,10000.00,0.00,0.00,0.00,0.00
200.90,383036.41,1466.91,10000.00,0.00,0.00,0.00,0.00
201.00,383183.01,1466.04,10000.00,0.00,0.00,0.00,0.00
201.10,383329.53,1465.16,10000.00,0.00,0.00,0.00,0.00
201.20,383475.96,1464.29,10000.00,0.00,0.00,0.00,0.00
201.30,383622.30,1463.42,10000.00,0.00,0.00,0.00,0.00
201.40,383768.55,1462.54,10000.00,0.00,0.00,0.00,0.00
201.50,383914.72,1461.67,10000.00,0.00,0.00,0.00,0.00
201.60,384060.80,1460.80,10000.00,0.00,0.00,0.00,0.00
201.70,384206.79,1459.92,10000.00,0.00,0.00,0.00,0.00
201.80,384352.70,1459.05,10000.00,0.00,0.00,0.00,0.00
201.90,384498.51,1458.18,10000.00,0.00,0.00,0.00,0.00
202.00,384644.25,1457.30,10000.00,0.00,0.00,0.00,0.00
202.10,384789.89,1456.43,10000.00,0.00,0.00,0.00,0.00
202.20,384935.44,1455.56,10000.00,0.00,0.00,0.00,0.00
202.30,385080.91,1454.68,10000.00,0.00,0.00,0.00,0.00
202.40,385226.29,1453.81,10000.00,0.00,0.00,0.00,0.00
202.50,385371.59,1452.94,10000.00,0.00,0.00,0.00,0.00
202.60,385516.79,1452.06,10000.00,0.00,0.00,0.00,0.00
202.70,385661.91,1451.19,10000.00,0.00,0.00,0.00,0.00
202.80,385806.94,1450.32,10000.00,0.00,0.00,0.00,0.00
202.90,385951.89,1449.44,10000.00,0.00,0.00,0.00,0.00
203.00,386096.74,1448.57,10000.00,0.00,0.00,0.00,0.00
203.10,386241.51,1447.70,10000.00,0.00,0.00,0.00,0.00
203.20,386386.20,1446.82,10000.00,0.00,0.00,0.00,0.00
203.30,386530.79,1445.95,10000.00,0.00,0.00,0.00,0.00
203.40,386675.30,1445.08,10000.00,0.00,0.00,0.00,0.00
203.50,386819.72,1444.21,10000.00,0.00,0.00,0.00,0.00
203.60,386964.05,1443.33,10000.00,0.00,0.00,0.00,0.00
203.70,387108.30,1442.46,10000.00,0.00,0.00,0.00,0.00
203.80,387252.46,1441.59,10000.00,0.00,0.00,0.00,0.00
203.90,387396.53,1440.71,10000.00,0.00,0.00,0.00,0.00
204.00,387540.51,1439.84,10000.00,0.00,0.00,0.00,0.00
204.10,387684.41,1438.97,10000.00,0.00,0.00,0.00,0.00
204.20,387828.22,1438.10,10000.00,0.00,0.00,0.00,0.00
204.30,387971.94,1437.22,10000.00,0.00,0.00,0.00,0.00
204.40,388115.58,1436.35,10000.00,0.00,0.00,0.00,0.00
204.50,388259.13,1435.48,10000.00,0.00,0.00,0.00,0.00
204.60,388402.59,1434.61,10000.00,0.00,0.00,0.00,0.00
204.70,388545.96,1433.73,10000.00,0.00,0.00,0.00,0.00
204.80,388689.25,1432.86,10000.00,0.00,0.00,0.00,0.00
204.90,388832.45,1431.99,10000.00,0.00,0.00,0.00,0.00
205.00,388975.56,1431.12,10000.00,0.00,0.00,0.00,0.00
205.10,389118.58,1430.25,10000.00,0.00,0.00,0.00,0.00
205.20,389261.52,1429.37,10000.00,0.00,0.00,0.00,0.00
205.30,389404.37,1428.50,10000.00,0.00,0.00,0.00,0.00
205.40,389547.13,1427.63,10000.00,0.00,0.00,0.00,0.00
205.50,389689.81,1426.76,10000.00,0.00,0.00,0.00,0.00
205.60,389832.40,1425.89,10000.00,0.00,0.00,0.00,0.00
205.70,389974.90,1425.01,10000.00,0.00,0.00,0.00,0.00
205.80,390117.31,1424.14,10000.00,0.00,0.00,0.00,0.00
205.90,390259.64,1423.27,10000.00,0.00,0.00,0.00,0.00
206.00,390401.88,1422.40,10000.00,0.00,0.00,0.00,0.00
206.10,390544.03,1421.53,10000.00,0.00,0.00,0.00,0.00
206.20,390686.10,1420.65,10000.00,0.00,0.00,0.00,0.00
206.30,390828.08,1419.78,10000.00,0.00,0.00,0.00,0.00
206.40,390969.97,1418.91,10000.00,0.00,0.00,0.00,0.00
206.50,391111.77,1418.04,10000.00,0.00,0.00,0.00,0.00
206.60,391253.49,1417.17,10000.00,0.00,0.00,0.00,0.00
206.70,391395.12,1416.29,10000.00,0.00,0.00,0.00,0.00
206.80,391536.66,1415.42,10000.00,0.00,0.00,0.00,0.00
206.90,391678.11,1414.55,10000.00,0.00,0.00,0.00,0.00
207.00,391819.48,1413.68,10000.00,0.00,0.00,0.00,0.00
207.10,391960.76,1412.81,10000.00,0.00,0.00,0.00,0.00
207.20,392101.96,1411.94,10000.00,0.00,0.00,0.00,0.00
207.30,392243.06,1411.07,10000.00,0.00,0.00,0.00,0.00
207.40,392384.08,1410.19,10000.00,0.00,0.00,0.00,0.00
207.50,392525.01,1409.32,10000.00,0.00,0.00,0.00,0.00
207.60,392665.86,1408.45,10000.00,0.00,0.00,0.00,0.00
207.70,392806.62,1407.58,10000.00,0.00,0.00,0.00,0.00
207.80,392947.29,1406.71,10000.00,0.00,0.00,0.00,0.00
207.90,393087.87,1405.84,10000.00,0.00,0.00,0.00,0.00
208.00,393228.37,1404.97,10000.00,0.00,0.00,0.00,0.00
208.10,393368.78,1404.10,10000.00,0.00,0.00,0.00,0.00
208.20,393509.10,1403.22,10000.00,0.00,0.00,0.00,0.00
208.30,393649.34,1402.35,10000.00,0.00,0.00,0.00,0.00
208.40,393789.48,1401.48,10000.00,0.00,0.00,0.00,0.00
208.50,393929.55,1400.61,10000.00,0.00,0.00,0.00,0.00
208.60,394069.52,1399.74,10000.00,0.00,0.00,0.00,0.00
208.70,394209.41,1398.87,10000.00,0.00,0.00,0.00,0.00
208.80,394349.21,1398.00,10000.00,0.00,0.00,0.00,0.00
208.90,394488.92,1397.13,10000.00,0.00,0.00,0.00,0.00
209.00,394628.55,1396.26,10000.00,0.00,0.00,0.00,0.00
209.10,394768.08,1395.39,10000.00,0.00,0.00,0.00,0.00
209.20,394907.54,1394.52,10000.00,0.00,0.00,0.00,0.00
209.30,395046.90,1393.64,10000.00,0.00,0.00,0.00,0.00
209.40,395186.18,1392.77,10000.00,0.00,0.00,0.00,0.00
209.50,395325.37,1391.90,10000.00,0.00,0.00,0.00,0.00
209.60,395464.47,1391.03,10000.00,0.00,0.00,0.00,0.00
209.70,395603.49,1390.16,10000.00,0.00,0.00,0.00,0.00
209.80,395742.42,1389.29,10000.00,0.00,0.00,0.00,0.00
209.90,395881.26,1388.42,10000.00,0.00,0.00,0.00,0.00
210.00,396020.01,1387.55,10000.00,0.00,0.00,0.00,0.00
210.10,396158.68,1386.68,10000.00,0.00,0.00,0.00,0.00
210.20,396297.26,1385.81,10000.00,0.00,0.00,0.00,0.00
210.30,396435.76,1384.94,10000.00,0.00,0.00,0.00,0.00
210.40,396574.16,1384.07,10000.00,0.00,0.00,0.00,0.00
210.50,396712.48,1383.20,10000.00,0.00,0.00,0.00,0.00
210.60,396850.72,1382.33,10000.00,0.00,0.00,0.00,0.00
210.70,396988.86,1381.46,10000.00,0.00,0.00,0.00,0.00
210.80,397126.92,1380.59,10000.00,0.00,0.00,0.00,0.00
210.90,397264.89,1379.72,10000.00,0.00,0.00,0.00,0.00
211.00,397402.78,1378.85,10000.00,0.00,0.00,0.00,0.00
211.10,397540.58,1377.98,10000.00,0.00,0.00,0.00,0.00
211.20,397678.29,1377.11,10000.00,0.00,0.00,0.00,0.00
211.30,397815.91,1376.24,10000.00,0.00,0.00,0.00,0.00
211.40,397953.45,1375.37,10000.00,0.00,0.00,0.00,0.00
211.50,398090.90,1374.50,10000.00,0.00,0.00,0.00,0.00
211.60,398228.26,1373.63,10000.00,0.00,0.00,0.00,0.00
211.70,398365.54,1372.76,10000.00,0.00,0.00,0.00,0.00
211.80,398502.72,1371.89,10000.00,0.00,0.00,0.00,0.00
211.90,398639.83,1371.02,10000.00,0.00,0.00,0.00,0.00
212.00,398776.84,1370.15,10000.00,0.00,0.00,0.00,0.00
212.10,398913.77,1369.28,10000.00,0.00,0.00,0.00,0.00
212.20,399050.61,1368.41,10000.00,0.00,0.00,0.00,0.00
212.30,399187.36,1367.54,10000.00,0.00,0.00,0.00,0.00
212.40,399324.03,1366.67,10000.00,0.00,0.00,0.00,0.00
212.50,399460.61,1365.80,10000.00,0.00,0.00,0.00,0.00
212.60,399597.10,1364.93,10000.00,0.00,0.00,0.00,0.00
212.70,399733.51,1364.06,10000.00,0.00,0.00,0.00,0.00
212.80,399869.83,1363.19,10000.00,0.00,0.00,0.00,0.00
212.90,400006.06,1362.32,10000.00,0.00,0.00,0.00,0.00
213.00,400142.21,1361.45,10000.00,0.00,0.00,0.00,0.00
213.10,400278.27,1360.58,10000.00,0.00,0.00,0.00,0.00
213.20,400414.24,1359.71,10000.00,0.00,0.00,0.00,0.00
213.30,400550.12,1358.85,10000.00,0.00,0.00,0.00,0.00
213.40,400685.92,1357.98,10000.00,0.00,0.00,0.00,0.00
213.50,400821.63,1357.11,10000.00,0.00,0.00,0.00,0.00
213.60,400957.25,1356.24,10000.00,0.00,0.00,0.00,0.00
213.70,401092.79,1355.37,10000.00,0.00,0.00,0.00,0.00
213.80,401228.24,1354.50,10000.00,0.00,0.00,0.00,0.00
213.90,401363.60,1353.63,10000.00,0.00,0.00,0.00,0.00
214.00,401498.88,1352.76,10000.00,0.00,0.00,0.00,0.00
214.10,401634.07,1351.89,10000.00,0.00,0.00,0.00,0.00
214.20,401769.17,1351.02,10000.00,0.00,0.00,0.00,0.00
214.30,401904.19,1350.15,10000.00,0.00,0.00,0.00,0.00
214.40,402039.11,1349.29,10000.00,0.00,0.00,0.00,0.00
214.50,402173.96,1348.42,10000.00,0.00,0.00,0.00,0.00
214.60,402308.71,1347.55,10000.00,0.00,0.00,0.00,0.00
214.70,402443.38,1346.68,10000.00,0.00,0.00,0.00,0.00
214.80,402577.96,1345.81,10000.00,0.00,0.00,0.00,0.00
214.90,402712.45,1344.94,10000.00,0.00,0.00,0.00,0.00
215.00,402846.86,1344.07,10000.00,0.00,0.00,0.00,0.00
215.10,402981.18,1343.20,10000.00,0.00,0.00,0.00,0.00
215.20,403115.42,1342.34,10000.00,0.00,0.00,0.00,0.00
215.30,403249.56,1341.47,10000.00,0.00,0.00,0.00,0.00
215.40,403383.62,1340.60,10000.00,0.00,0.00,0.00,0.00
215.50,403517.60,1339.73,10000.00,0.00,0.00,0.00,0.00
215.60,403651.48,1338.86,10000.00,0.00,0.00,0.00,0.00
215.70,403785.28,1337.99,10000.00,0.00,0.00,0.00,0.00
215.80,403918.99,1337.12,10000.00,0.00,0.00,0.00,0.00
215.90,404052.62,1336.26,10000.00,0.00,0.00,0.00,0.00
216.00,404186.16,1335.39,10000.00,0.00,0.00,0.00,0.00
216.10,404319.61,1334.52,10000.00,0.00,0.00,0.00,0.00
216.20,404452.97,1333.65,10000.00,0.00,0.00,0.00,0.00
216.30,404586.25,1332.78,10000.00,0.00,0.00,0.00,0.00
216.40,404719.44,1331.91,10000.00,0.00,0.00,0.00,0.00
216.50,404852.55,1331.05,10000.00,0.00,0.00,0.00,0.00
216.60,404985.57,1330.18,10000.00,0.00,0.00,0.00,0.00
216.70,405118.50,1329.31,10000.00,0.00,0.00,0.00,0.00
216.80,405251.34,1328.44,10000.00,0.00,0.00,0.00,0.00
216.90,405384.10,1327.57,10000.00,0.00,0.00,0.00,0.00
217.00,405516.77,1326.71,10000.00,0.00,0.00,0.00,0.00
217.10,405649.35,1325.84,10000.00,0.00,0.00,0.00,0.00
217.20,405781.85,1324.97,10000.00,0.00,0.00,0.00,0.00
217.30,405914.26,1324.10,10000.00,0.00,0.00,0.00,0.00
217.40,406046.58,1323.23,10000.00,0.00,0.00,0.00,0.00
217.50,406178.82,1322.37,10000.00,0.00,0.00,0.00,0.00
217.60,406310.97,1321.50,10000.00,0.00,0.00,0.00,0.00
217.70,406443.03,1320.63,10000.00,0.00,0.00,0.00,0.00
217.80,406575.01,1319.76,10000.00,0.00,0.00,0.00,0.00
217.90,406706.90,1318.90,10000.00,0.00,0.00,0.00,0.00
218.00,406838.70,1318.03,10000.00,0.00,0.00,0.00,0.00
218.10,406970.42,1317.16,10000.00,0.00,0.00,0.00,0.00
218.20,407102.05,1316.29,10000.00,0.00,0.00,0.00,0.00
218.30,407233.59,1315.42,10000.00,0.00,0.00,0.00,0.00
218.40,407365.05,1314.56,10000.00,0.00,0.00,0.00,0.00
218.50,407496.41,1313.69,10000.00,0.00,0.00,0.00,0.00
218.60,407627.70,1312.82,10000.00,0.00,0.00,0.00,0.00
218.70,407758.89,1311.95,10000.00,0.00,0.00,0.00,0.00
218.80,407890.00,1311.09,10000.00,0.00,0.00,0.00,0.00
218.90,408021.02,1310.22,10000.00,0.00,0.00,0.00,0.00
219.00,408151.96,1309.35,10000.00,0.00,0.00,0.00,0.00
219.10,408282.81,1308.49,10000.00,0.00,0.00,0.00,0.00
219.20,408413.57,1307.62,10000.00,0.00,0.00,0.00,0.00
219.30,408544.24,1306.75,10000.00,0.00,0.00,0.00,0.00
219.40,408674.83,1305.88,10000.00,0.00,0.00,0.00,0.00
219.50,408805.33,1305.02,10000.00,0.00,0.00,0.00,0.00
219.60,408935.75,1304.15,10000.00,0.00,0.00,0.00,0.00
219.70,409066.08,1303.28,10000.00,0.00,0.00,0.00,0.00
219.80,409196.32,1302.42,10000.00,0.00,0.00,0.00,0.00
219.90,409326.47,1301.55,10000.00,0.00,0.00,0.00,0.00
220.00,409456.54,1300.68,10000.00,0.00,0.00,0.00,0.00
220.10,409586.52,1299.81,10000.00,0.00,0.00,0.00,0.00
220.20,409716.42,1298.95,10000.00,0.00,0.00,0.00,0.00
220.30,409846.23,1298.08,10000.00,0.00,0.00,0.00,0.00
220.40,409975.95,1297.21,10000.00,0.00,0.00,0.00,0.00
220.50,410105.58,1296.35,10000.00,0.00,0.00,0.00,0.00
220.60,410235.13,1295.48,10000.00,0.00,0.00,0.00,0.00
220.70,410364.59,1294.61,10000.00,0.00,0.00,0.00,0.00
220.80,410493.97,1293.75,10000.00,0.00,0.00,0.00,0.00
220.90,410623.25,1292.88,10000.00,0.00,0.00,0.00,0.00
221.00,410752.45,1292.01,10000.00,0.00,0.00,0.00,0.00
221.10,410881.57,1291.15,10000.00,0.00,0.00,0.00,0.00
221.20,411010.60,1290.28,10000.00,0.00,0.00,0.00,0.00
221.30,411139.54,1289.41,10000.00,0.00,0.00,0.00,0.00
221.40,411268.39,1288.55,10000.00,0.00,0.00,0.00,0.00
221.50,411397.16,1287.68,10000.00,0.00,0.00,0.00,0.00
221.60,411525.84,1286.81,10000.00,0.00,0.00,0.00,0.00
221.70,411654.44,1285.95,10000.00,0.00,0.00,0.00,0.00
221.80,411782.94,1285.08,10000.00,0.00,0.00,0.00,0.00
221.90,411911.37,1284.21,10000.00,0.00,0.00,0.00,0.00
222.00,412039.70,1283.35,10000.00,0.00,0.00,0.00,0.00
222.10,412167.95,1282.48,10000.00,0.00,0.00,0.00,0.00
222.20,412296.11,1281.62,10000.00,0.00,0.00,0.00,0.00
222.30,412424.19,1280.75,10000.00,0.00,0.00,0.00,0.00
222.40,412552.17,1279.88,10000.00,0.00,0.00,0.00,0.00
222.50,412680.08,1279.02,10000.00,0.00,0.00,0.00,0.00
222.60,412807.89,1278.15,10000.00,0.00,0.00,0.00,0.00
222.70,412935.62,1277.28,10000.00,0.00,0.00,0.00,0.00
222.80,413063.26,1276.42,10000.00,0.00,0.00,0.00,0.00
222.90,413190.82,1275.55,10000.00,0.00,0.00,0.00,0.00
223.00,413318.28,1274.69,10000.00,0.00,0.00,0.00,0.00
223.10,413445.67,1273.82,10000.00,0.00,0.00,0.00,0.00
223.20,413572.96,1272.95,10000.00,0.00,0.00,0.00,0.00
223.30,413700.17,1272.09,10000.00,0.00,0.00,0.00,0.00
223.40,413827.29,1271.22,10000.00,0.00,0.00,0.00,0.00
223.50,413954.33,1270.36,10000.00,0.00,0.00,0.00,0.00
223.60,414081.28,1269.49,10000.00,0.00,0.00,0.00,0.00
223.70,414208.14,1268.62,10000.00,0.00,0.00,0.00,0.00
223.80,414334.92,1267.76,10000.00,0.00,0.00,0.00,0.00
223.90,414461.61,1266.89,10000.00,0.00,0.00,0.00,0.00
224.00,414588.21,1266.03,10000.00,0.00,0.00,0.00,0.00
224.10,414714.72,1265.16,10000.00,0.00,0.00,0.00,0.00
224.20,414841.15,1264.30,10000.00,0.00,0.00,0.00,0.00
224.30,414967.50,1263.43,10000.00,0.00,0.00,0.00,0.00
224.40,415093.75,1262.57,10000.00,0.00,0.00,0.00,0.00
224.50,415219.92,1261.70,10000.00,0.00,0.00,0.00,0.00
224.60,415346.01,1260.83,10000.00,0.00,0.00,0.00,0.00
224.70,415472.00,1259.97,10000.00,0.00,0.00,0.00,0.00
224.80,415597.91,1259.10,10000.00,0.00,0.00,0.00,0.00
224.90,415723.74,1258.24,10000.00,0.00,0.00,0.00,0.00
225.00,415849.48,1257.37,10000.00,0.00,0.00,0.00,0.00
225.10,415975.13,1256.51,10000.00,0.00,0.00,0.00,0.00
225.20,416100.69,1255.64,10000.00,0.00,0.00,0.00,0.00
225.30,416226.17,1254.78,10000.00,0.00,0.00,0.00,0.00
225.40,416351.56,1253.91,10000.00,0.00,0.00,0.00,0.00
225.50,416476.86,1253.05,10000.00,0.00,0.00,0.00,0.00
225.60,416602.08,1252.18,10000.00,0.00,0.00,0.00,0.00
225.70,416727.21,1251.32,10000.00,0.00,0.00,0.00,0.00
225.80,416852.26,1250.45,10000.00,0.00,0.00,0.00,0.00
225.90,416977.22,1249.59,10000.00,0.00,0.00,0.00,0.00
226.00,417102.09,1248.72,10000.00,0.00,0.00,0.00,0.00
226.10,417226.87,1247.86,10000.00,0.00,0.00,0.00,0.00
226.20,417351.57,1246.99,10000.00,0.00,0.00,0.00,0.00
226.30,417476.19,1246.13,10000.00,0.00,0.00,0.00,0.00
226.40,417600.71,1245.26,10000.00,0.00,0.00,0.00,0.00
226.50,417725.15,1244.40,10000.00,0.00,0.00,0.00,0.00
226.60,417849.50,1243.53,10000.00,0.00,0.00,0.00,0.00
226.70,417973.77,1242.67,10000.00,0.00,0.00,0.00,0.00
226.80,418097.95,1241.80,10000.00,0.00,0.00,0.00,0.00
226.90,418222.04,1240.94,10000.00,0.00,0.00,0.00,0.00
227.00,418346.05,1240.07,10000.00,0.00,0.00,0.00,0.00
227.10,418469.97,1239.21,10000.00,0.00,0.00,0.00,0.00
227.20,418593.81,1238.34,10000.00,0.00,0.00,0.00,0.00
227.30,418717.55,1237.48,10000.00,0.00,0.00,0.00,0.00
227.40,418841.22,1236.61,10000.00,0.00,0.00,0.00,0.00
227.50,418964.79,1235.75,10000.00,0.00,0.00,0.00,0.00
227.60,419088.28,1234.88,10000.00,0.00,0.00,0.00,0.00
227.70,419211.68,1234.02,10000.00,0.00,0.00,0.00,0.00
227.80,419335.00,1233.15,10000.00,0.00,0.00,0.00,0.00
227.90,419458.23,1232.29,10000.00,0.00,0.00,0.00,0.00
228.00,419581.37,1231.43,10000.00,0.00,0.00,0.00,0.00
228.10,419704.42,1230.56,10000.00,0.00,0.00,0.00,0.00
228.20,419827.39,1229.70,10000.00,0.00,0.00,0.00,0.00
228.30,419950.28,1228.83,10000.00,0.00,0.00,0.00,0.00
228.40,420073.07,1227.97,10000.00,0.00,0.00,0.00,0.00
228.50,420195.78,1227.10,10000.00,0.00,0.00,0.00,0.00
228.60,420318.41,1226.24,10000.00,0.00,0.00,0.00,0.00
228.70,420440.95,1225.38,10000.00,0.00,0.00,0.00,0.00
228.80,420563.40,1224.51,10000.00,0.00,0.00,0.00,0.00
228.90,420685.76,1223.65,10000.00,0.00,0.00,0.00,0.00
229.00,420808.04,1222.78,10000.00,0.00,0.00,0.00,0.00
229.10,420930.23,1221.92,10000.00,0.00,0.00,0.00,0.00
229.20,421052.34,1221.06,10000.00,0.00,0.00,0.00,0.00
229.30,421174.36,1220.19,10000.00,0.00,0.00,0.00,0.00
229.40,421296.29,1219.33,10000.00,0.00,0.00,0.00,0.00
229.50,421418.14,1218.46,10000.00,0.00,0.00,0.00,0.00
229.60,421539.90,1217.60,10000.00,0.00,0.00,0.00,0.00
229.70,421661.57,1216.74,10000.00,0.00,0.00,0.00,0.00
229.80,421783.16,1215.87,10000.00,0.00,0.00,0.00,0.00
229.90,421904.66,1215.01,10000.00,0.00,0.00,0.00,0.00
230.00,422026.07,1214.14,10000.00,0.00,0.00,0.00,0.00
230.10,422147.40,1213.28,10000.00,0.00,0.00,0.00,0.00
230.20,422268.64,1212.42,10000.00,0.00,0.00,0.00,0.00
230.30,422389.80,1211.55,10000.00,0.00,0.00,0.00,0.00
230.40,422510.87,1210.69,10000.00,0.00,0.00,0.00,0.00
230.50,422631.85,1209.83,10000.00,0.00,0.00,0.00,0.00
230.60,422752.74,1208.96,10000.00,0.00,0.00,0.00,0.00
230.70,422873.55,1208.10,10000.00,0.00,0.00,0.00,0.00
230.80,422994.28,1207.23,10000.00,0.00,0.00,0.00,0.00
230.90,423114.91,1206.37,10000.00,0.00,0.00,0.00,0.00
231.00,423235.47,1205.51,10000.00,0.00,0.00,0.00,0.00
231.10,423355.93,1204.64,10000.00,0.00,0.00,0.00,0.00
231.20,423476.31,1203.78,10000.00,0.00,0.00,0.00,0.00
231.30,423596.60,1202.92,10000.00,0.00,0.00,0.00,0.00
